,name,photo,birthday,url,player_id,teams
0,Diego Alves,https://tmssl.akamaized.net/images/portrait/header/42373-1543845950.jpg,24/06/1985,/diego-alves/profil/spieler/42373,42373,"[614, 330]"
1,Hugo Souza,https://tmssl.akamaized.net/images/portrait/header/574901-1541567933.jpg,31/01/1999,/hugo-souza/profil/spieler/574901,574901,[614]
2,César,https://tmssl.akamaized.net/images/portrait/header/177776-1543846059.jpg,27/01/1992,/cesar/profil/spieler/177776,177776,"[614, 1134]"
3,Gabriel Batista,https://tmssl.akamaized.net/images/portrait/header/401535-1543846106.jpg,3/06/1998,/gabriel-batista/profil/spieler/401535,401535,[614]
4,Rodrigo Caio,https://tmssl.akamaized.net/images/portrait/header/172054-1471615155.jpg,17/08/1993,/rodrigo-caio/profil/spieler/172054,172054,"[614, 585]"
5,Léo Pereira,https://tmssl.akamaized.net/images/portrait/header/288431-1494244050.jpg,31/01/1996,/leo-pereira/profil/spieler/288431,288431,"[614, 679, 2646]"
6,Gustavo Henrique,https://tmssl.akamaized.net/images/portrait/header/208681-1516097388.jpg,24/03/1993,/gustavo-henrique/profil/spieler/208681,208681,"[614, 221]"
7,Thuler,https://tmssl.akamaized.net/images/portrait/header/549815-1543846359.jpg,10/03/1999,/thuler/profil/spieler/549815,549815,[614]
8,Matheus Dantas,https://tmssl.akamaized.net/images/portrait/header/default.jpg,5/09/1998,/matheus-dantas/profil/spieler/587349,587349,[614]
9,Rafael Santos,https://tmssl.akamaized.net/images/portrait/header/default.jpg,2/02/1998,/rafael-santos/profil/spieler/603137,603137,[614]
10,Filipe Luís,https://tmssl.akamaized.net/images/portrait/header/21725-1447152742.jpg,9/08/1985,/filipe-luis/profil/spieler/21725,21725,[614]
11,Renê,https://tmssl.akamaized.net/images/portrait/header/212209-1543846645.jpg,14/09/1992,/rene/profil/spieler/212209,212209,"[614, 8718]"
12,Rafinha,https://tmssl.akamaized.net/images/portrait/header/33947-1540568346.jpg,7/09/1985,/rafinha/profil/spieler/33947,33947,[614]
13,João Lucas,https://tmssl.akamaized.net/images/portrait/header/default.jpg,9/03/1998,/joao-lucas/profil/spieler/672292,672292,[614]
14,Thiago Maia,https://tmssl.akamaized.net/images/portrait/header/294873-1457513224.jpg,23/03/1997,/thiago-maia/profil/spieler/294873,294873,"[614, 221]"
15,Piris da Motta,https://tmssl.akamaized.net/images/portrait/header/default.jpg,26/07/1994,/piris-da-motta/profil/spieler/273033,273033,[614]
16,Vinicius Souza,https://tmssl.akamaized.net/images/portrait/header/663581-1592467266.jpg,17/06/1999,/vinicius-souza/profil/spieler/663581,663581,[614]
17,Gerson,https://tmssl.akamaized.net/images/portrait/header/341705-1591602785.jpg,20/05/1997,/gerson/profil/spieler/341705,341705,"[614, 2462]"
18,Willian Arão,https://tmssl.akamaized.net/images/portrait/header/210747-1512665701.jpg,3/12/1992,/willian-arao/profil/spieler/210747,210747,"[614, 199, 537, 15172, 17776, 10247]"
19,Hugo Moura,https://tmssl.akamaized.net/images/portrait/header/default.jpg,3/01/1998,/hugo-moura/profil/spieler/644157,644157,[614]
20,Éverton Ribeiro,https://tmssl.akamaized.net/images/portrait/header/52896-1547642704.jpg,10/04/1989,/everton-ribeiro/profil/spieler/52896,52896,"[614, 199, 776, 609, 291]"
21,Giorgian de Arrascaeta,https://tmssl.akamaized.net/images/portrait/header/248410-1478867878.jpg,1/06/1994,/giorgian-de-arrascaeta/profil/spieler/248410,248410,"[614, 609]"
22,Diego,https://tmssl.akamaized.net/images/portrait/header/4248-1506074640.jpg,28/02/1985,/diego/profil/spieler/4248,4248,"[614, 221]"
23,Lázaro,https://tmssl.akamaized.net/images/portrait/header/574772-1574058091.jpg,12/03/2002,/lazaro/profil/spieler/574772,574772,[614]
24,Bruno Henrique,https://tmssl.akamaized.net/images/portrait/header/353108-1453794476.jpg,30/12/1990,/bruno-henrique/profil/spieler/353108,353108,"[614, 221, 3197]"
25,Vitinho,https://tmssl.akamaized.net/images/portrait/header/213605-1447749971.jpg,9/10/1993,/vitinho/profil/spieler/213605,213605,"[614, 6600, 537]"
26,Michael,https://tmssl.akamaized.net/images/portrait/header/520392-1571741922.jpg,12/03/1996,/michael/profil/spieler/520392,520392,"[614, 3197]"
27,Pedro Rocha,https://tmssl.akamaized.net/images/portrait/header/362844-1553895661.png,1/10/1994,/pedro-rocha/profil/spieler/362844,362844,"[614, 210, 609]"
